DBSCAN_Cluster,Number_of_Planets,Percentage
0,1779,27.998111425873468
1,4136,65.0928548945546
2,39,0.6137865911237016
3,216,3.39943342776204
4,25,0.39345294302801387
5,107,1.6839785961598994
6,38,0.598048473402581
7,14,0.22033364809568773
