DBSCAN_Cluster,pl_rade,pl_masse,pl_dens,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_mass,st_rad
0,13.066617282694038,1335.5459015111796,3.241211175489068,274575.61437225563,51.38179279154093,928.1320619860848,5658.097439100562,1.026103943034405,1.3144652627599245
1,2.383189648992229,28.405551324592395,3.49901336379268,34.7818129612645,0.18328221710777806,810.299081658611,5238.832056256062,0.8748819910476651,0.9256777699781394
2,1.6110267992307692,726.2728779210527,231.6820512820513,8.618208769641026,0.08387230769230769,934.1794871794872,5319.056666666666,0.9225618717948719,1.0432210256410257
3,13.136727594027777,2076.3930632570623,4.161180555555555,9199.58294939535,5.664338164251208,644.5633333333333,4798.0626046511625,1.7280972222222222,13.944773976744186
4,12.815298780800001,594.3202483755555,1.47768,1825.04729,17.57131028,114.92399999999999,3444.0591999999997,0.3803232,0.41322972
5,5.45196261682243,31.21557077521698,1.6508317757009348,4889.6081575,2.3489022115384617,534.0,,0.36010373831775705,0.177
6,3.287,2229.3019112664474,1.1534,645.4397118421053,0.9087234054054054,636.9757142857143,5185.3105263157895,0.8237105263157894,0.8987946388888888
7,10.856909090909092,731.6953333333332,4.092727272727273,2009.4242557857142,2.2241999999999997,2781.5750000000003,33965.142857142855,0.48207142857142854,0.18958333333333333
