pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_eqt,sy_dist,st_teff,st_mass,st_rad,DBSCAN_Cluster,Cluster_Name,LOF_Score,LOF_Label,Potential_Outlier,Outlier_Status
Kepler-1821 b,Kepler-1821,Transit,2021,16.45809937,2.59248115,0.23128608,7.24,0.0228,644.0,799.699,5475.0,0.946,0.884,1,Cluster 1,0.9941964247903214,1,False,Normal
Kepler-1788 b,Kepler-1788,Transit,2021,2.800120115,2.37850461,0.21219633,6.25,0.0197,956.0,560.445,4786.0,0.686,0.704,1,Cluster 1,1.0987984467884868,1,False,Normal
Kepler-1859 b,Kepler-1859,Transit,2021,2.729599953,1.58313575,0.14123815,3.13,0.00985,1455.0,1331.25,5887.0,1.09,1.235,1,Cluster 1,1.0114170100341684,1,False,Normal
Kepler-1860 b,Kepler-1860,Transit,2021,12.73719978,1.13863767,0.10158262,1.55,0.00487,697.0,438.703,5420.0,0.874,0.868,1,Cluster 1,1.0809826064655013,1,False,Normal
K2-184 b,K2-184,Transit,2018,16.9780102,1.47,0.13114484,2.76,0.00869,533.0,75.5857,5245.0,0.84,0.75,1,Cluster 1,1.0601489924896017,1,False,Normal
Kepler-1712 b,Kepler-1712,Transit,2021,13.81499958,2.28372556,0.2037407,5.83,0.0184,391.0,156.264,3732.0,0.515,0.509,1,Cluster 1,0.9656491792266978,1,False,Normal
Kepler-1763 b,Kepler-1763,Transit,2021,1.480280042,1.14651332,0.10228524,1.59,0.00499,1822.0,756.486,5897.0,1.026,1.259,1,Cluster 1,1.0339072238286298,1,False,Normal
Kepler-1764 b,Kepler-1764,Transit,2021,70.46829987,4.55527871,0.40639545,18.8,0.0593,511.0,1542.48,6461.0,1.162,1.131,1,Cluster 1,1.303976572940749,1,False,Normal
Kepler-1790 b,Kepler-1790,Transit,2021,31.58889961,3.1446145,0.2805442,10.0,0.0316,682.0,1070.17,5866.0,1.02,1.367,1,Cluster 1,1.0446087278901173,1,False,Normal
Kepler-1791 b,Kepler-1791,Transit,2021,7.720860004,3.12103321,0.27844041,9.91,0.0312,1021.0,602.218,5887.0,0.985,1.177,1,Cluster 1,1.02599690757225,1,False,Normal
EPIC 220554210 c,K2-282,Transit,2019,0.70531,1.6,0.14274268,3.19,0.01,,496.289,5499.0,0.94,1.0,1,Cluster 1,0.9729656309762845,1,False,Normal
K2-273 b,K2-273,Transit,2018,11.7195663,3.05,0.27210324,9.53,0.03,849.0,308.105,5161.0,0.89,0.85,1,Cluster 1,1.0545839245150455,1,False,Normal
K2-104 b,K2-104,Transit,2016,1.9741954,1.79,0.15969338,3.86,0.0121,798.0,189.289,3712.0,0.51,0.48,1,Cluster 1,0.9845693730442182,1,False,Normal
Kepler-1792 b,Kepler-1792,Transit,2021,4.1957798,2.51990972,0.22481167,6.89,0.0217,1047.0,601.029,5229.0,0.878,1.005,1,Cluster 1,1.0753089843820953,1,False,Normal
